item_id,zh_cn,ru,fr,en,icon_path,category_zh_cn,category_ru,category_fr,category_en
7774,粘液团,Сгусток слизи,Amas de mucus,Mucous Lump,icons/quest/icon_item_quest038.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7775,坚韧的皮绳,Прочная кожаная веревка,Bande de cuir coriace,Tough Leather String,icons/icon_item_0049.dds.png,皮革,Кожа,Peau,Hide
7783,模糊的风痕,Тусклый след Ветра,Souffle alizéen léger,Faint Wind Breath,icons/quest/icon_item_quest103.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7784,肮脏的布条,Грязный лоскут ткани,Lien putride,Putrid Binding,icons/icon_item_0065.dds.png,布料,Ткань,Tissu,Fabric
7786,透明的风痕,Прозрачный след с клеймом Ветра,Souffle des Giflevents,Windwhisp's Breath,icons/quest/icon_item_quest103.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7801,人鱼尾巴,Хвост русалки,Queue de Lige-marée,Seafolk Tail,icons/icon_item_0105.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7802,人鱼鳞片,Чешуя русалки,Écaille de Lige-marée,Seafolk Scale,icons/icon_item_0053.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7804,人鱼鳍,Плавник русалки,Aileron de Lige-marée,Seafolk Fin,icons/icon_item_0109.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7836,蜥蜴尾巴,Хвост ящера,Queue de lézard,Lizard Tail,icons/icon_item_0180.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7840,尖喙鸟羽毛,Перо шипастой птицы,Plume en bec-rasoir,Razorbeak Feather,icons/icon_item_0170.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7896,鹰身女妖羽毛,Перо гарпии,Plume de harpie,Harpy Feather,icons/icon_item_0170.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7897,鹰身女妖爪,Коготь гарпии,Griffe de harpie,Harpy Claw,icons/icon_item_0169.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7909,鳄鱼尾巴,Хвост крокодила,Queue de crocodile,Crocodile Tail,icons/quest/icon_item_quest159.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7910,鳄鱼牙齿,Зуб крокодила,Dent de crocodile,Crocodile Tooth,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7922,象牙,Бивень,Morceau d'ivoire,Ivory Chunk,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7933,海虫毒腺,Ядовитая железа морского жука,Poison de Puce de mer,Seabug Poison,icons/icon_item_0080.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7940,巨魔槽牙,Клык тролля,Molaire de troll,Troll Molar,icons/icon_item_0169.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7945,蜥蜴人爪子,Коготь байяма,Griffe d'Achassi,Achassi Claw,icons/icon_item_0169.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7952,狼獠牙,Волчий клык,Croc de loup,Wolf Fang,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7963,蜥蜴人的皮,Панцирь байяма,Peau d'Achassi,Achassi Skin,icons/icon_item_0095.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7976,蝎子尾巴,Хвост скорпиона,Queue de scorpion,Scorpion Tail,icons/icon_item_0180.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7987,狮鹫羽毛,Перо грифона,Plume de griffon,Griffin Feather,icons/quest/icon_item_quest129.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7989,狮鹫爪,Коготь грифона,Griffe de griffon,Griffin Claw,icons/icon_item_0169.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7999,毒蘑菇,Ядовитый гриб,Champignon vénéneux,Toadstool,icons/quest/icon_item_quest077.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8011,污染的水,Зараженная вода,Flacon d'eau polluée,Polluted Water,icons/icon_item_0176.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8041,德翡纳锭,Слиток дельфинада,Lingot de Delphinad,Delphinad Ingot,icons/icon_item_0871.dds.png,金属,Слиток металла,Métal,Metal
8043,精选食盐,Сверкающая соль,Sel brillant,Shining Salt,icons/icon_item_0085.dds.png,调味料,Приправа,Épices,Spices
8049,食醋,Уксус,Volume de vinaigre,Vinegar,icons/icon_item_0176.dds.png,调味料,Приправа,Épices,Spices
8068,记忆之息,Энергия памяти,Esprit mnésique,Memory Spirit,icons/quest/icon_item_quest103.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8069,记忆精华,Эссенция памяти,Essence mnésique,Memory Essence,icons/icon_item_0082.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8070,剧毒之息,Энергия яда,Esprit venimeux,Venom Spirit,icons/quest/icon_item_quest103.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8071,剧毒精华,Эссенция яда,Essence venimeuse,Venom Essence,icons/icon_item_0082.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8072,悲痛之息,Энергия печали,Esprit d'affliction,Sorrowful Spirit,icons/quest/icon_item_quest103.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8073,悲痛精华,Эссенция печали,Essence d'affliction,Sorrowful Essence,icons/icon_item_0082.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8074,治愈之息,Энергия исцеления,Esprit curatif,Healing Spirit,icons/quest/icon_item_quest103.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8075,治愈精华,Эссенция исцеления,Essence curative,Healing Essence,icons/icon_item_0082.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8248,小爪子,Маленький коготь,Petite griffe,Small Claw,icons/icon_item_0169.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8249,巨大的爪子,Большой коготь,Grande griffe,Large Claw,icons/icon_item_0169.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8250,尖锐的爪,Острый коготь,Griffe pointue,Pointed Claw,icons/icon_item_0169.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8251,尖锐的牙,Заостренный клык,Dent pointue,Pointed Tooth,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8252,尖利的牙齿,Острый клык,Dent aiguisée,Sharp Tooth,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8253,结实的牙齿,Прочный клык,Dent résistante,Sturdy Tooth,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8254,碎布料,Порванная ткань,Étoffe déchirée,Torn Fabric,icons/icon_item_0065.dds.png,布料,Ткань,Tissu,Fabric
8255,撕裂的布料,Заплатка,Étoffe rapiécée,Stitched Fabric,icons/icon_item_0065.dds.png,布料,Ткань,Tissu,Fabric
8256,布料,Ткань,Tissu,Fabric,icons/icon_item_0356.dds.png,布料,Ткань,Tissu,Fabric
8257,旧绳,Старая веревка,Ficelle effilochée,Frayed String,icons/icon_item_0091.dds.png,布料,Ткань,Tissu,Fabric
8258,粗线,Толстая веревка,Ficelle épaisse,Thick String,icons/icon_item_0091.dds.png,布料,Ткань,Tissu,Fabric
8259,坚韧的线,Прочный канат,Ficelle coriace,Tough String,icons/icon_item_0091.dds.png,布料,Ткань,Tissu,Fabric
8260,旧纸,Мятая бумажка,Papier jauni,Yellowed Paper,icons/icon_item_0232.dds.png,纸张,Бумага,Papier,Paper
8263,晨星结晶,Кристалл утренней звезды,Cristal d'aurorine,Dawnstar Crystal,icons/quest/icon_item_quest128.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8264,新月结晶,Кристалл полумесяца,Cristal-croissant,Crescent Crystal,icons/quest/icon_item_quest128.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8265,太阳结晶,Кристалл солнца,Cristal solaire,Sun Crystal,icons/quest/icon_item_quest128.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8266,晨星精华,Эссенция утренней звезды,Essence d'aurorine,Dawnstar Essence,icons/quest/icon_item_quest021.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8267,新月精华,Эссенция полумесяца,Essence-croissant,Crescent Essence,icons/quest/icon_item_quest021.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8268,太阳精华,Эссенция солнца,Essence solaire,Sun Essence,icons/quest/icon_item_quest021.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8269,晨星之息,Энергия утренней звезды,Esprit d'aurorine,Dawnstar Spirit,icons/icon_item_0162.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8270,新月之息,Энергия полумесяца,Esprit-croissant,Crescent Spirit,icons/icon_item_0162.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8271,太阳之息,Энергия солнца,Esprit solaire,Sun Spirit,icons/icon_item_0162.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8272,粉碎的骨头,Разбитая кость,Os décrépit,Crumbling Bone,icons/icon_item_0181.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8273,裂开的骨头,Расколотая кость,Os fendillé,Cracked Bone,icons/icon_item_0181.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8274,坚硬的骨头,Прочная кость,Os dur,Hard Bone,icons/icon_item_0181.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8275,粉碎的骷髅,Разбитый череп,Crâne tombant en miettes,Crumbing Skull,icons/quest/icon_item_quest123.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8276,旧骷髅,Старый череп,Crâne vénérable,Venerable Skull,icons/quest/icon_item_quest123.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8277,奇妙的骷髅,Жуткий череп,Crâne étrange,Peculiar Skull,icons/quest/icon_item_quest123.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8278,褴褛的布料,Потрепанная ткань,Tissu effiloché,Frayed Fabric,icons/icon_item_0065.dds.png,布料,Ткань,Tissu,Fabric
8279,硬挺布料,Жесткая ткань,Étoffe raide,Stiff Fabric,icons/icon_item_0065.dds.png,布料,Ткань,Tissu,Fabric
8280,柔软的布料,Мягкая ткань,Étoffe douce,Soft Fabric,icons/icon_item_0065.dds.png,布料,Ткань,Tissu,Fabric
8281,混沌粉末,Порошок хаоса,Once de poudre chaotique,Chaotic Powder,icons/icon_item_0090.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8282,秩序粉末,Порошок порядка,Once de poudre axiomatique,Axiomatic Powder,icons/icon_item_0090.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8283,和谐粉末,Порошок гармонии,Once de poudre harmonique,Harmonic Powder,icons/icon_item_0090.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8284,混沌碎片,Фрагмент хаоса,Éclat chaotique,Chaotic Shard,icons/quest/icon_item_quest125.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8285,秩序碎片,Фрагмент порядка,Éclat axiomatique,Axiomatic Shard,icons/quest/icon_item_quest125.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8286,和谐碎片,Фрагмент гармонии,Éclat harmonique,Harmonic Shard,icons/quest/icon_item_quest125.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8287,混沌溶液,Раствор хаоса,Solution chaotique,Chaotic Solution,icons/icon_item_0080.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8288,秩序溶液,Раствор порядка,Solution axiomatique,Axiomatic Solution,icons/icon_item_0080.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8289,和谐溶液,Раствор гармонии,Solution harmonique,Harmonic Solution,icons/icon_item_0080.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8299,断裂的角,Сломанный рог,Corne brisée,Broken Horn,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8300,尖锐的角,Заостренный рог,Corne pointue,Pointed Horn,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8301,尖利的角,Острый рог,Corne acérée,Sharp Horn,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8302,轻盈之翼,Легкое крыло,Aile légère,Light Wing,icons/icon_item_0187.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8303,厚实的翅膀,Плотное крыло,Aile lourde,Heavy Wing,icons/icon_item_0187.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8304,结实的翅膀,Прочное крыло,Aile résistante,Sturdy Wing,icons/icon_item_0187.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8305,小尾巴,Маленький хвост,Petite queue,Small Tail,icons/quest/icon_item_quest159.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8306,蕴含魔力的恶魔尾巴,Магический хвост демона,Queue magique de démon,Magic Demon Tail,icons/quest/icon_item_quest159.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8307,美丽的尾巴,Красивый хвост,Queue magnifique,Beautiful Tail,icons/quest/icon_item_quest097.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8308,梦境结晶,Кристалл мечты,Cristal onirique,Dream Crystal,icons/quest/icon_item_quest015.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8309,黑暗结晶,Кристалл тьмы,Cristal d'ombre,Shadow Crystal,icons/quest/icon_item_quest015.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8310,光辉结晶,Кристалл света,Cristal lumineux,Light Crystal,icons/quest/icon_item_quest015.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8311,梦境精华,Эссенция мечты,Essence onirique,Dream Essence,icons/quest/icon_item_quest021.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8312,黑暗精华,Эссенция тьмы,Essence d'ombre,Shadow Essence,icons/quest/icon_item_quest021.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8313,光辉精华,Эссенция света,Essence lumineuse,Light Essence,icons/quest/icon_item_quest021.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8314,梦境之息,Энергия мечты,Esprit onirique,Dream Spirit,icons/quest/icon_item_quest171.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8315,黑暗之息,Энергия тьмы,Esprit d'ombre,Shadow Spirit,icons/quest/icon_item_quest171.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8316,光辉之息,Энергия света,Esprit lumineux,Light Spirit,icons/quest/icon_item_quest171.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8318,铁锭,Слиток железа,Lingot de fer,Iron Ingot,icons/quest/icon_item_quest053.dds.png,金属,Слиток металла,Métal,Metal
8319,合金锭,Прочный сплав,Lingot résistant,Sturdy Ingot,icons/icon_item_0282.dds.png,金属,Слиток металла,Métal,Metal
8320,铜锭,Слиток меди,Lingot de cuivre,Copper Ingot,icons/icon_item_0281.dds.png,金属,Слиток металла,Métal,Metal
8324,海之珊瑚,Толченый коралл,Corail bleu océan,Ocean Blue Coral,icons/icon_item_1758.dds.png,生产材料,Редкий материал,Matériau,Material
8325,黄昏珍珠,Коралловый жемчуг,Perle du couchant,Sunset Pearl,icons/icon_item_1756.dds.png,生产材料,Редкий материал,Matériau,Material
8326,青铜雕刀,Чудо-измельчитель консорциума,Couteau du Sel bleu,Blue Salt Knife,icons/icon_item_1750.dds.png,特殊材料,Особый материал,Special Material,Special Material
8337,木材,Упаковка строительной древесины,Planche,Lumber,icons/icon_item_0041.dds.png,木材,Древесина,Planche,Lumber
8338,木板,Доска,Planche,Plank,icons/icon_item_0037.dds.png,木材,Древесина,Planche,Lumber
8339,细木棍,Деревянный стержень,Perche en bois,Wood Pole,icons/icon_item_0038.dds.png,木材,Древесина,Planche,Lumber
8340,锯末,Опилки,Sciure,Sawdust,icons/icon_item_0039.dds.png,木材,Древесина,Planche,Lumber
8341,粗木棒,Деревянный шест,Cheville en bois,Wood Dowel,icons/icon_item_0040.dds.png,木材,Древесина,Planche,Lumber
8342,胶合板,Фанера,Placage en bois,Wood Veneer,icons/icon_item_0037.dds.png,木材,Древесина,Planche,Lumber
8343,石材,Каменный блок,Brique de pierre,Stone Brick,icons/icon_item_0283.dds.png,石材,Камень,Brique de pierre,Stone Brick
8344,石板,Каменная плита,Tablette en pierre,Stone Slab,icons/icon_item_0043.dds.png,石材,Камень,Brique de pierre,Stone Brick
8345,石棍,Каменный стержень,Bourdon en pierre,Stone Rod,icons/icon_item_0044.dds.png,石材,Камень,Brique de pierre,Stone Brick
8346,石粉,Каменный порошок,Pincée de poussière de pierre,Stone Dust,icons/icon_item_0045.dds.png,石材,Камень,Brique de pierre,Stone Brick
8347,石柱,Сталагмит,Pilier en pierre,Stone Pillar,icons/icon_item_0046.dds.png,石材,Камень,Brique de pierre,Stone Brick
8348,砖头,Кирпич,Brique,Brick,icons/icon_item_0284.dds.png,石材,Камень,Brique de pierre,Stone Brick
8349,皮绳,Кожаная веревка,Ficelle en cuir,Leather String,icons/icon_item_0049.dds.png,皮革,Кожа,Peau,Hide
8350,皮板,Кожаный лоскут,Plate en cuir,Leather Plate,icons/icon_item_0050.dds.png,皮革,Кожа,Peau,Hide
8352,软皮,Мягкая кожа,Morceau de cuir souple,Supple Leather,icons/icon_item_0285.dds.png,皮革,Кожа,Peau,Hide
8358,羊毛布,Шерсть,Laine,Wool,icons/icon_item_0065.dds.png,布料,Ткань,Tissu,Fabric
8359,丝绸,Шелк,Soie,Silk,icons/icon_item_0058.dds.png,布料,Ткань,Tissu,Fabric
8360,纯棉,Натуральный хлопок,Coton pur,Pure Cotton,icons/icon_item_0056.dds.png,布料,Ткань,Tissu,Fabric
8361,纯毛,Натуральная шерсть,Laine pure,Pure Wool,icons/icon_item_0056.dds.png,布料,Ткань,Tissu,Fabric
8373,玻璃珠,Стеклянная жемчужина,Orbe en verre,Glass Orb,icons/icon_item_0067.dds.png,玻璃,Флакон,Verre,Glass
8374,玻璃棺,Стеклянная трубка,Tube en verre,Glass Tube,icons/icon_item_0068.dds.png,玻璃,Флакон,Verre,Glass
8377,玻璃板,Лист стекла,Panneau en verre,Glass Pane,icons/icon_item_0071.dds.png,玻璃,Флакон,Verre,Glass
8378,玻璃窗,Окно,Vitre,Glass Window,icons/icon_item_0071.dds.png,玻璃,Флакон,Verre,Glass
8379,玻璃箱,Стеклянный ящик,Boîte en verre,Glass Box,icons/icon_item_0073.dds.png,玻璃,Флакон,Verre,Glass
8380,青铜镜,Бронзовое зеркало,Miroir en bronze,Bronze Mirror,icons/icon_item_0074.dds.png,玻璃,Флакон,Verre,Glass
8381,玻璃镜,Стеклянное зеркало,Miroir en verre,Glass Mirror,icons/icon_item_0074.dds.png,玻璃,Флакон,Verre,Glass
8386,软胶,Мягкая резина,Gomme douce,Soft Rubber,icons/icon_item_0163.dds.png,橡胶,Каучук,Caoutchouc,Rubber
8387,橡皮塞,Резиновая пробка,Arrêtoir en caoutchouc,Rubber Stopper,icons/icon_item_0077.dds.png,橡胶,Каучук,Caoutchouc,Rubber
8388,橡皮筋,Резиновая веревка,Élastique,Rubber Band,icons/icon_item_0078.dds.png,橡胶,Каучук,Caoutchouc,Rubber
8389,坚硬的橡胶,Прочная резина,Caoutchouc dur,Hard Rubber,icons/icon_item_0077.dds.png,橡胶,Каучук,Caoutchouc,Rubber
8390,胶皮管,Резиновая трубка,Tube en caoutchouc,Rubber Tube,icons/quest/icon_item_quest072.dds.png,橡胶,Каучук,Caoutchouc,Rubber
8391,橡胶板,Резиновый пласт,Plaque de caoutchouc,Rubber Plate,icons/icon_item_0043.dds.png,橡胶,Каучук,Caoutchouc,Rubber
8394,野兽之爪,Коготь зверя,Griffe de bête,Beast Claw,icons/icon_item_0169.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8395,野兽之牙,Клык зверя,Croc de bête,Beast Fang,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8397,线团,Клубок нити,Écheveau,Skein,icons/icon_item_0091.dds.png,布料,Ткань,Tissu,Fabric
8399,天空结晶,Кристалл неба,Cristal céleste,Sky Crystal,icons/quest/icon_item_quest109.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8400,天空精华,Эссенция небес,Essence céleste,Sky Essence,icons/quest/icon_item_quest109.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8401,天空之息,Энергия небес,Esprit céleste,Sky Spirit,icons/quest/icon_item_quest109.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8402,亡者的骨头,Кость мертвеца,Os inerte,Lifeless Bone,icons/icon_item_0181.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8403,亡者的骸骨,Череп мертвеца,Crâne inerte,Lifeless Skull,icons/quest/icon_item_quest123.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8404,魔力粉末,Магический порошок,Once de poussière magique,Magic Dust,icons/icon_item_0153.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8405,魔力碎片,Магический осколок,Éclat magique,Magic Shard,icons/icon_item_0039.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8406,魔力溶液,Магический раствор,Solution magique,Magic Solution,icons/icon_item_0084.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8410,恶魔之角,Рог демона,Corne de démon,Demon Horn,icons/icon_item_0182.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8411,恶魔之翼,Крыло демона,Aile de démon,Demon Wing,icons/icon_item_0187.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8412,恶魔之尾,Хвост демона,Queue de démon,Demon Tail,icons/icon_item_0180.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8413,幻想结晶,Иллюзорный кристалл,Cristal illusoire,Illusion Crystal,icons/quest/icon_item_quest116.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8414,幻想精华,Иллюзорная эссенция,Essence illusoire,Illusion Essence,icons/quest/icon_item_quest116.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8415,幻想之息,Иллюзорная энергия,Esprit illusoire,Illusion Spirit,icons/quest/icon_item_quest116.dds.png,炼金材料,Реактив,Alchimie,Alchemy
8661,家具设计图：猫头鹰邮箱,Договор с совиной почтой,Plan : boîte aux lettres hibou,Owl Mailbox Design,icons/icon_item_0005.dds.png,生产材料,Редкий материал,Matériau,Material
14939,杏仁油,Миндальное масло,Bouteille d'huile d'amande,Almond Oil,icons/icon_item_0309.dds.png,食用油,Пищевое масло,Huile de cuisson,Cooking Oil
14940,椰子油,Кокосовое масло,Bouteille d'huile de noix de coco,Coconut Oil,icons/icon_item_0309.dds.png,食用油,Пищевое масло,Huile de cuisson,Cooking Oil
14941,芝麻油,Кунжутное масло,Bouteille d'huile de sésame,Sesame Oil,icons/icon_item_0309.dds.png,食用油,Пищевое масло,Huile de cuisson,Cooking Oil
14942,玉米油,Кукурузное масло,Bouteille d'huile de maïs,Corn Oil,icons/icon_item_0309.dds.png,食用油,Пищевое масло,Huile de cuisson,Cooking Oil
14943,牡蛎酱,Устричный соус,Sauce aux huîtres,Oyster Sauce,icons/icon_item_0176.dds.png,调味料,Приправа,Épices,Spices
14944,苹果醋,Яблочный уксус,Volume de vinaigre de pomme,Apple Vinegar,icons/icon_item_0176.dds.png,调味料,Приправа,Épices,Spices
14945,葡萄醋,Винный уксус,Volume de vinaigre de vin,Wine Vinegar,icons/icon_item_0176.dds.png,调味料,Приправа,Épices,Spices
14946,椰子醋,Кокосовый уксус,Volume de vinaigre de noix de coco,Coconut Vinegar,icons/icon_item_0176.dds.png,调味料,Приправа,Épices,Spices
14947,谷物醋,Зерновой уксус,Volume de vinaigre de grain fermenté,Fermented Grain Vinegar,icons/icon_item_0176.dds.png,调味料,Приправа,Épices,Spices
14970,猪油,Свиной жир,Bouteille d'huile de cochon,Pig Oil,icons/icon_item_0309.dds.png,食用油,Пищевое масло,Huile de cuisson,Cooking Oil
15292,被弄脏的月光土,Загрязненный песок лунного света,Once de terre lunaire souillée,Befouled Moonlight Soil,icons/quest/icon_item_quest104.dds.png,炼金材料,Реактив,Alchimie,Alchemy
15304,冰凉的蓝色血液,Холодная голубая кровь,Sang-bleu gelé,Frozen Blueblood,icons/icon_item_0205.dds.png,炼金材料,Реактив,Alchimie,Alchemy
15314,华彩羽毛,Перо яркой окраски,Plume colorée,Colorful Feather,icons/quest/icon_item_quest129.dds.png,炼金材料,Реактив,Alchimie,Alchemy
15315,艳彩羽毛,Перо насыщенного цвета,Plume brillante,Bright Feather,icons/quest/icon_item_quest129.dds.png,炼金材料,Реактив,Alchimie,Alchemy
